,source,target,flags
19669,99529,T372X5A,10000
19670,99529,T373X5A,10000
19671,99529,T374X5A,10000
19672,99529,T375X5A,10000
19673,99529,T378X5A,10000
19674,99529,T3795XA,10000
19675,99529,T380X5A,10000
19676,99529,T381X5A,10000
19677,99529,T382X5A,10000
19678,99529,T384X5A,10000
19679,99529,T385X5A,10000
19680,99529,T386X5A,10000
19681,99529,T387X5A,10000
19682,99529,T38805A,10000
19683,99529,T38815A,10000
19684,99529,T38895A,10000
19685,99529,T38905A,10000
19686,99529,T38995A,10000
19687,99529,T39015A,10000
19688,99529,T39095A,10000
19689,99529,T391X5A,10000
19690,99529,T392X5A,10000
19691,99529,T39315A,10000
19692,99529,T39395A,10000
19693,99529,T394X5A,10000
19694,99529,T398X5A,10000
19695,99529,T3995XA,10000
19696,99529,T400X5A,10000
19697,99529,T402X5A,10000
19698,99529,T403X5A,10000
19699,99529,T404X5A,10000
19700,99529,T405X5A,10000
19701,99529,T40605A,10000
19702,99529,T40695A,10000
19703,99529,T407X5A,10000
19704,99529,T40905A,10000
19705,99529,T40995A,10000
19706,99529,T415X5A,10000
19707,99529,T420X5A,10000
19708,99529,T421X5A,10000
19709,99529,T422X5A,10000
19710,99529,T423X5A,10000
19711,99529,T424X5A,10000
19712,99529,T425X5A,10000
19713,99529,T426X5A,10000
19714,99529,T4275XA,10000
19715,99529,T428X5A,10000
19716,99529,T43015A,10000
19717,99529,T43025A,10000
19718,99529,T431X5A,10000
19719,99529,T43205A,10000
19720,99529,T43215A,10000
19721,99529,T43225A,10000
19722,99529,T43295A,10000
19723,99529,T433X5A,10000
19724,99529,T434X5A,10000
19725,99529,T43505A,10000
19726,99529,T43595A,10000
19727,99529,T43605A,10000
19728,99529,T43615A,10000
19729,99529,T43625A,10000
19730,99529,T43635A,10000
19731,99529,T43695A,10000
19732,99529,T438X5A,10000
19733,99529,T4395XA,10000
19734,99529,T440X5A,10000
19735,99529,T441X5A,10000
19736,99529,T442X5A,10000
19737,99529,T443X5A,10000
19738,99529,T444X5A,10000
19739,99529,T445X5A,10000
19740,99529,T446X5A,10000
19741,99529,T447X5A,10000
19742,99529,T448X5A,10000
19743,99529,T44905A,10000
19744,99529,T450X5A,10000
19745,99529,T451X5A,10000
19746,99529,T452X5A,10000
19747,99529,T453X5A,10000
19748,99529,T454X5A,10000
19749,99529,T45515A,10000
19750,99529,T45525A,10000
19751,99529,T45605A,10000
19752,99529,T45615A,10000
19753,99529,T45625A,10000
19754,99529,T45695A,10000
19755,99529,T457X5A,10000
19756,99529,T458X5A,10000
19757,99529,T4595XA,10000
19758,99529,T460X5A,10000
19759,99529,T461X5A,10000
19760,99529,T462X5A,10000
19761,99529,T463X5A,10000
19762,99529,T464X5A,10000
19763,99529,T465X5A,10000
19764,99529,T466X5A,10000
19765,99529,T467X5A,10000
19766,99529,T468X5A,10000
19767,99529,T46905A,10000
19768,99529,T46995A,10000
19769,99529,T470X5A,10000
19770,99529,T471X5A,10000
19771,99529,T472X5A,10000
19772,99529,T473X5A,10000
19773,99529,T474X5A,10000
19774,99529,T475X5A,10000
19775,99529,T476X5A,10000
19776,99529,T477X5A,10000
19777,99529,T478X5A,10000
19778,99529,T4795XA,10000
19779,99529,T480X5A,10000
19780,99529,T481X5A,10000
19781,99529,T48205A,10000
19782,99529,T48295A,10000
19783,99529,T483X5A,10000
19784,99529,T484X5A,10000
19785,99529,T485X5A,10000
19786,99529,T486X5A,10000
19787,99529,T48905A,10000
19788,99529,T48995A,10000
19789,99529,T490X5A,10000
19790,99529,T491X5A,10000
19791,99529,T492X5A,10000
19792,99529,T493X5A,10000
19793,99529,T494X5A,10000
19794,99529,T495X5A,10000
19795,99529,T496X5A,10000
19796,99529,T497X5A,10000
19797,99529,T498X5A,10000
19798,99529,T4995XA,10000
19799,99529,T500X5A,10000
19800,99529,T501X5A,10000
19801,99529,T502X5A,10000
19802,99529,T503X5A,10000
19803,99529,T504X5A,10000
19804,99529,T505X5A,10000
19805,99529,T506X5A,10000
19806,99529,T507X5A,10000
19807,99529,T508X5A,10000
19808,99529,T50995A,10000
19809,99529,T50A15A,10000
19810,99529,T50A25A,10000
19811,99529,T50A95A,10000
19812,99529,T50B15A,10000
19813,99529,T50B95A,10000
19814,99529,T50Z15A,10000
19815,99529,T50Z95A,10000
19816,9953,T7840XA,10000
19817,9954,T882XXA,10000
19818,99550,T7492XA,10000
19819,99550,T7692XA,10000
19820,99551,T7432XA,10000
19821,99551,T7632XA,10000
19822,99552,T7402XA,10000
19823,99552,T7602XA,10000
19824,99553,T7422XA,10000
19825,99553,T7622XA,10000
19826,99554,T7412XA,10000
19827,99554,T7612XA,10000
19828,99555,T744XXA,10000
19829,99559,T7492XA,10000
19830,99559,T7692XA,10000
19831,99560,T7800XA,10000
19832,99561,T7801XA,10000
19833,99562,T7802XA,10000
19834,99563,T7804XA,10000
19835,99564,T7805XA,10000
19836,99565,T7803XA,10000
19837,99566,T7806XA,10000
19838,99567,T7807XA,10000
19839,99568,T7808XA,10000
19840,99569,T7809XA,10000
19841,9957,T781XXA,10000
19842,99580,T7491XA,10000
19843,99580,T7691XA,10000
19844,99581,T7411XA,10000
19845,99581,T7611XA,10000
19846,99582,T7431XA,10000
19847,99582,T7631XA,10000
19848,99583,T7421XA,10000
19849,99583,T7621XA,10000
19850,99584,T7401XA,10000
19851,99584,T7601XA,10000
19852,99585,T7491XA,10000
19853,99585,T7691XA,10000
19854,99586,T883XXA,10000
19855,99589,T8851XA,10000
19856,99590,R6510,10000
19857,99591,A419,10000
19858,99592,R6520,10000
19859,99593,R6510,10000
19860,99594,R6511,0
19861,99600,T82519A,10000
19862,99600,T82529A,10000
19863,99600,T82539A,10000
19864,99600,T82599A,10000
19865,99601,T82110A,10000
19866,99601,T82111A,10000
19867,99601,T82120A,10000
19868,99601,T82121A,10000
19869,99601,T82190A,10000
19870,99601,T82191A,10000
19871,99602,T8201XA,10000
